n,seed,T,kernel,family,gap,C_kT,C_far
8,3,0.3,"dlp(t=0,a=3)",naive,0.005135717517733673,2.7276492117060005e-06,0.004952728807850486
8,3,0.3,"softspin(c=.1,a=30)",informed,0.002409941641208335,7.863025475727245e-06,0.010158314154567754
8,3,0.3,"softspin(c=1,a=30)",informed,1.7062709356530092e-08,9.041380688345546e-06,1.8100999575600114e-06
8,3,0.3,shell(eps=2),oracle,0.18623025467504817,6.928239079022805e-05,0.5000825177264377
8,3,0.3,shell(eps=3),oracle,0.16557724299969534,4.482568909967734e-05,0.2597486662387969
8,3,0.3,shell(eps=4),oracle,0.10177721215979507,3.576770620161106e-05,0.1320371546088617
8,3,0.1,uniform,naive,0.003914882089992022,1.138868339009476e-19,0.003914863603846808
8,3,0.1,single-flip,local,0.0,1.1073655699608836e-18,0.0
8,3,0.1,add-delete-swap,local,0.0,6.142277433077919e-19,0.0
8,3,0.1,quench,quench,0.06320639640077708,6.945749746729356e-19,0.10870343023989923
8,3,0.1,"demon(L=4,Td=1)",local,0.0,2.9004819188326476e-19,3.227837240007076e-20
8,3,0.1,"demon(L=4,Td=8)",local,4.975242440252714e-12,6.809761988350402e-19,5.759947470516943e-11
8,3,0.1,"dlp(t=.5,a=3)",informed,1.5543122344752192e-15,6.774459955476049e-20,8.613407474907656e-21
8,3,0.1,"dlp(t=.05,a=3)",informed,3.6673414305354868e-09,8.255480083072055e-19,0.0003464606887950207
8,3,0.1,"dlp(t=0,a=3)",naive,0.004498375687818856,1.3289601466866408e-19,0.004496788757158564
8,3,0.1,"softspin(c=.1,a=30)",informed,0.0017439162722812096,2.9541525711733473e-19,0.009173770577719625
8,3,0.1,"softspin(c=1,a=30)",informed,1.9906298831529057e-13,2.561067742670567e-18,8.968069913660446e-07
8,3,0.1,shell(eps=2),oracle,0.24332977545163637,2.4291565985334855e-18,0.5000000000170084
8,3,0.1,shell(eps=3),oracle,0.16700549825152022,1.4572866219709256e-18,0.25018373674800687
8,3,0.1,shell(eps=4),oracle,0.09110827812542943,1.0066984507983986e-18,0.12512528537698867
10,1,1.0,uniform,naive,0.0033765356429407145,0.012104537039869741,0.009804758070644296
10,1,1.0,single-flip,local,0.0009975439571643374,0.10228696316040455,0.0
10,1,1.0,add-delete-swap,local,0.0011467533569651245,0.08158129651109283,0.0
10,1,1.0,quench,quench,0.04704888423377784,0.15475913931580396,0.08549354484183276
10,1,1.0,"demon(L=4,Td=1)",local,0.004624111757193017,0.17546844448264454,0.005604529957649804
10,1,1.0,"demon(L=4,Td=8)",local,0.0031934001613801444,0.1268973485492814,0.014685970752365145
10,1,1.0,"dlp(t=.5,a=3)",informed,0.0012743100011756159,0.1892958098788302,0.01050684017959937
10,1,1.0,"dlp(t=.05,a=3)",informed,0.0026279157033808342,0.01964825310530641,0.008706929340950284
10,1,1.0,"dlp(t=0,a=3)",naive,0.0029685654759196156,0.012791755572419874,0.008840809419964828
10,1,1.0,"softspin(c=.1,a=30)",informed,0.002549144407547721,0.026947582692341904,0.009013509861532583
10,1,1.0,"softspin(c=1,a=30)",informed,0.0004352636418578637,0.19221464707590724,0.001507233803650075
10,1,1.0,shell(eps=2),oracle,0.02599395366031587,0.9999999999999999,0.7745234034422332
